epoch,step,test_dice,train_loss,val_dice,val_loss
0,49,,1.3496198654174805,,
0,99,,1.152225375175476,,
0,99,,,0.3302060663700104,1.0929841995239258
1,149,,1.11494779586792,,
1,199,,1.0429342985153198,,
1,199,,,0.33817529678344727,1.020858645439148
2,249,,1.0442698001861572,,
2,299,,1.0027598142623901,,
2,299,,,0.3140788972377777,0.977475643157959
3,349,,0.9355398416519165,,
3,399,,0.8854652643203735,,
3,399,,,0.5099310278892517,0.8945727348327637
4,449,,0.7977851629257202,,
4,499,,0.7616379261016846,,
4,499,,,0.6354154944419861,0.7561569213867188
5,549,,0.740005612373352,,
5,599,,0.6517453789710999,,
5,599,,,0.8487305641174316,0.6395421028137207
6,649,,0.6373978853225708,,
6,699,,0.5779027938842773,,
6,699,,,0.8937011361122131,0.5657706260681152
7,749,,0.5807216167449951,,
7,799,,0.5432299971580505,,
7,799,,,0.9009594917297363,0.49870792031288147
8,849,,0.48985791206359863,,
8,899,,0.46937960386276245,,
8,899,,,0.9034993648529053,0.44432780146598816
9,949,,0.4465407729148865,,
9,999,,0.4285985827445984,,
9,999,,,0.9030691385269165,0.4233590066432953
10,1049,,0.4041042923927307,,
10,1099,,0.3736783266067505,,
10,1099,,,0.9050073623657227,0.38621819019317627
11,1149,,0.38541173934936523,,
11,1199,,0.34796810150146484,,
11,1199,,,0.909559428691864,0.35595664381980896
12,1249,,0.3464699387550354,,
12,1299,,0.33285531401634216,,
12,1299,,,0.9108264446258545,0.32429635524749756
13,1349,,0.3220605254173279,,
13,1399,,0.3033314347267151,,
13,1399,,,0.9086130857467651,0.3024451732635498
14,1449,,0.2924412488937378,,
14,1499,,0.27525001764297485,,
14,1499,,,0.9202141761779785,0.26855185627937317
15,1549,,0.27334916591644287,,
15,1599,,0.251356303691864,,
15,1599,,,0.9165704250335693,0.2603822648525238
16,1649,,0.25066328048706055,,
16,1699,,0.2523561716079712,,
16,1699,,,0.910969078540802,0.2508699297904968
17,1749,,0.21870756149291992,,
17,1799,,0.24881039559841156,,
17,1799,,,0.9207934737205505,0.2243242859840393
18,1849,,0.2216186225414276,,
18,1899,,0.23714673519134521,,
18,1899,,,0.921664834022522,0.21055366098880768
19,1949,,0.21919840574264526,,
19,1999,,0.20714008808135986,,
19,1999,,,0.9131735563278198,0.20407848060131073
20,2049,,0.19154953956604004,,
20,2099,,0.19941769540309906,,
20,2099,,,0.916760265827179,0.19297699630260468
21,2149,,0.18869981169700623,,
21,2199,,0.17244525253772736,,
21,2199,,,0.9198561906814575,0.178725928068161
22,2249,,0.16071583330631256,,
22,2299,,0.14793497323989868,,
22,2299,,,0.9195187091827393,0.17104659974575043
23,2349,,0.16769203543663025,,
23,2399,,0.1535671204328537,,
23,2399,,,0.9199524521827698,0.162844717502594
24,2449,,0.1436770260334015,,
24,2499,,0.16710631549358368,,
24,2499,,,0.9214335083961487,0.15330348908901215
25,2549,,0.16563108563423157,,
25,2599,,0.14940232038497925,,
25,2599,,,0.9189426898956299,0.15134744346141815
26,2649,,0.1395157426595688,,
26,2699,,0.14910146594047546,,
26,2699,,,0.921781599521637,0.14376281201839447
27,2749,,0.14686882495880127,,
27,2799,,0.12262089550495148,,
27,2799,,,0.9251351356506348,0.13571853935718536
28,2849,,0.12002347409725189,,
28,2899,,0.1318873167037964,,
28,2899,,,0.9224225878715515,0.13408908247947693
29,2949,,0.11988870799541473,,
29,2999,,0.12882757186889648,,
29,2999,,,0.9249964952468872,0.12624572217464447
30,3049,,0.11793650686740875,,
30,3099,,0.11148909479379654,,
30,3099,,,0.9234755039215088,0.1254861205816269
31,3149,,0.11747670918703079,,
31,3199,,0.09692549705505371,,
31,3199,,,0.9239274263381958,0.12216927856206894
32,3249,,0.10447022318840027,,
32,3299,,0.10706114768981934,,
32,3299,,,0.9243453741073608,0.11943838000297546
33,3349,,0.11878093332052231,,
33,3399,,0.10768867284059525,,
33,3399,,,0.9208949208259583,0.11971078813076019
34,3449,,0.11387220025062561,,
34,3499,,0.10230659693479538,,
34,3499,,,0.9233696460723877,0.1145145446062088
35,3549,,0.10534825176000595,,
35,3599,,0.09208804368972778,,
35,3599,,,0.9216943979263306,0.1161729022860527
36,3649,,0.1073974072933197,,
36,3699,,0.0998603105545044,,
36,3699,,,0.9248005151748657,0.11028115451335907
37,3749,,0.10272198170423508,,
37,3799,,0.0993235856294632,,
37,3799,,,0.9269681572914124,0.10450060665607452
38,3849,,0.09674009680747986,,
38,3899,,0.08353401720523834,,
38,3899,,,0.9265669584274292,0.1042722687125206
39,3949,,0.0948440209031105,,
39,3999,,0.08696883916854858,,
39,3999,,,0.9240039587020874,0.10754325240850449
40,4049,,0.09792090207338333,,
40,4099,,0.08010606467723846,,
40,4099,,,0.922787070274353,0.10685474425554276
41,4149,,0.10701378434896469,,
41,4199,,0.09398020803928375,,
41,4199,,,0.9243916273117065,0.10362435132265091
42,4249,,0.08281196653842926,,
42,4299,,0.08618901669979095,,
42,4299,,,0.9253045320510864,0.10294882953166962
43,4349,,0.07908691465854645,,
43,4399,,0.0944356918334961,,
43,4399,,,0.9269084930419922,0.09975290298461914
44,4449,,0.08334663510322571,,
44,4499,,0.08462473750114441,,
44,4499,,,0.9238932728767395,0.10200412571430206
45,4549,,0.08204375207424164,,
45,4599,,0.08964695036411285,,
45,4599,,,0.9215936660766602,0.10249744355678558
46,4649,,0.08371629565954208,,
46,4699,,0.10097286105155945,,
46,4699,,,0.9252309203147888,0.09899935126304626
47,4749,,0.08563445508480072,,
47,4799,,0.0810227245092392,,
47,4799,,,0.924159049987793,0.09902631491422653
48,4849,,0.08564463257789612,,
48,4899,,0.0874108374118805,,
48,4899,,,0.9168205261230469,0.11036501079797745
49,4949,,0.08174040168523788,,
49,4999,,0.0753960981965065,,
49,4999,,,0.9250843524932861,0.09689868241548538
50,5049,,0.07693470269441605,,
50,5099,,0.07041245698928833,,
50,5099,,,0.924312949180603,0.09843328595161438
51,5149,,0.0702451840043068,,
51,5199,,0.07915826886892319,,
51,5199,,,0.9263549447059631,0.09617216885089874
52,5249,,0.06992634385824203,,
52,5299,,0.0669197142124176,,
52,5299,,,0.9248284697532654,0.09777552634477615
53,5349,,0.07840903103351593,,
53,5399,,0.0729934573173523,,
53,5399,,,0.9252088069915771,0.09567185491323471
54,5449,,0.07261587679386139,,
54,5499,,0.0734327882528305,,
54,5499,,,0.9266243577003479,0.09353290498256683
55,5549,,0.07461217790842056,,
55,5599,,0.0694592297077179,,
55,5599,,,0.9229244589805603,0.09924084693193436
56,5649,,0.07559690624475479,,
56,5699,,0.07418856024742126,,
56,5699,,,0.9276221990585327,0.09221840649843216
57,5749,,0.08481834828853607,,
57,5799,,0.06446345895528793,,
57,5799,,,0.9266587495803833,0.09389084577560425
58,5849,,0.07452493906021118,,
58,5899,,0.07802794873714447,,
58,5899,,,0.9233973026275635,0.09900221228599548
59,5949,,0.07259897887706757,,
59,5999,,0.0732513889670372,,
59,5999,,,0.9201115369796753,0.10186181962490082
60,6049,,0.07156305015087128,,
60,6099,,0.06847098469734192,,
60,6099,,,0.9257941246032715,0.09381885826587677
61,6149,,0.08413005620241165,,
61,6199,,0.06752409040927887,,
61,6199,,,0.9255081415176392,0.09482195228338242
62,6249,,0.06733215600252151,,
62,6299,,0.07166614383459091,,
62,6299,,,0.9264814853668213,0.09491600096225739
63,6349,,0.058039769530296326,,
63,6399,,0.07242211699485779,,
63,6399,,,0.9256595373153687,0.09469160437583923
64,6449,,0.05930430814623833,,
64,6499,,0.07783059775829315,,
64,6499,,,0.9255025386810303,0.09396921098232269
65,6549,,0.06718097627162933,,
65,6599,,0.07443076372146606,,
65,6599,,,0.920562744140625,0.10077258944511414
66,6649,,0.06835916638374329,,
66,6699,,0.06496793031692505,,
66,6699,,,0.9251097440719604,0.09444219619035721
67,6700,0.9258385300636292,,,
